Recipe Name,Ingredients,Allergy?,Potential Allergy,Type
Chile and GingerFried Tofu Salad With Kale,"pieces, sauce, sauce, desired, leaves, chopped, ginger, frying, cornstarch, spinach, oil, taste, parts), garnish",Yes,"ginger, spinach","Histamine Allergy, Histamine Allergy"
Spicy Sweet-and-Sour Salmon With Dates (Qaliyeh-e Khorma),"seeds, squares, salt, dice, vinegar, salt, pepper, turmeric, flour, fillets, divided, grated, vinegar, molasses, cayenne, leaves, halved, serving, Kateh, (optional)",No,,
Kateh (Persian Stove-Top Rice),"rice, water, salt, oil",Yes,rice,Rice Allergy
Pistachio and Pomegranate Meatballs (Kufteh-Ye Pesteh-o Anar),"quartered, kernels, crumbs, parsley, dried, cilantro, juice, flakes, pepper, cumin, salt, turkey, egg, meatballs, molasses, molasses, juice, salt, pepper, flakes, (arils), Lavash, lettuce, (optional)",Yes,"lettuce, parsley, turkey","LTP Allergy, Hypersensitivity, Poultry Allergy"
Sumac Baked Fish With Saffron Quinoa,"quinoa, water, salt, oil, saffron, cardamom, salt, pepper, turmeric, powder, weight), juice, chopped, chopped, chopped, chopped, chopped, juice, salt, pepper, oil",No,,
Persian Celery Stew With Mushrooms (Khoresh-e Karafs),"oil, sliced, lengths), sliced, sliced, flakes, salt, pepper, water, (optional), juice, parsley, mint, leaves, (optional)",Yes,parsley,Hypersensitivity
Jerk Tofu Wrapped in Collard Leaves,"onion, sliced, ginger, garlic, sugar, allspice, nutmeg, pepper, pepper, minced, juice, vinegar, shoyu, oil, thyme, salt, oil, sliced, minced, oil, coriander, needed, leaves, juice, jalapeo, tofu, Marinade, needed, removed, powder, frying, Chips, Sauce, garnish, peanuts, garnish",Yes,"garlic, ginger, onion, sugar","Allium Allergy, Histamine Allergy, Allium Allergy, Sugar Allergy / Intolerance"
Cassoulet Toast,"drizzling, sliced, peeled, rinsed, tomatoes, thyme, pepper, water, ounces), bread, leaves, chopped, garnish",No,,
All-The-Seeds Hamantaschen,"powder, salt, dusting, temperature, temperature, sugar, egg, zest, (pepitas), seeds, sprinkling, sprinkling, honey, tahini, more, egg, cutter",Yes,"honey, sugar","Honey Allergy, Sugar Allergy / Intolerance"
Greek Turkey Burgers,"breast, chopped, chopped, lemon, onion, parsley, chopped, oregano, salt, pepper, frying, lettuce, tomato, onion, cucumber, parsley, pesto, cheese",Yes,"cheese, cucumber, lemon, lettuce, onion, parsley, tomato","Milk allergy / Lactose intolerance, Unknown, Citrus Allergy, LTP Allergy, Allium Allergy, Hypersensitivity, Nightshade Allergy"
Crispy Tofu Balls,"tofu, scallions, bouillon, cob, pepper, dip, flour, water, bouillon, xanh), cornstarch",No,,
Black Apple Old-Fashioned,"Jgermeister, brandy, bitters, twist",No,,
Oat Milk,"oats, (optional), (optional)",No,,
Amazuzuke (Quick Vinegar Pickles),"peeled, leaves, parsley, sliced, halves, mustard), removed, vinegar, water, pieces, sugar, salt, peel",Yes,"parsley, sugar","Hypersensitivity, Sugar Allergy / Intolerance"
Chicken-Lentil Soup With Jammy Onions,"dry, salt, oil, sliced, sliced, rinsed, turmeric, parsley, juice, serving)",Yes,parsley,Hypersensitivity
Green Curry Vinegar Chicken,"large, trimmed, half, vinegar, oil, paste, drumsticks, salt",No,,
Ginger-Scallion Meatballs With Green Curry Sauce,"divided, pork, chopped, egg, piece), divided, cream, paste, spinach, juice, rice, coconut, serving)",Yes,"cream, rice, spinach","Milk allergy / Lactose intolerance, Rice Allergy, Histamine Allergy"
Chocolate-Almond Fridge Fudge,"spray, almonds, needed, avocado, syrup, butter, Dutch-processed, salt, salt",Yes,"avocado, butter","Oral Allergy Syndrome, Milk allergy / Lactose intolerance"
Ultimate Green Curry (Gaeng Khiaw Wan Gai),"cream, storebought), thick, milk, cubes), leaves, chiles, oils, taste, taste, rice, noodles, roti",Yes,"cream, milk, rice","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Rice Allergy"
Risotto With Mushrooms and Thyme,"more, oil, chopped, rice, wine, pieces, grated, oil, pieces, salt, pepper, thyme, crushed, butter, juice, Parmesan, grated",Yes,"butter, rice","Milk allergy / Lactose intolerance, Rice Allergy"
Thai Green Curry Paste,"removed, sliced, chopped, cloves, sliced, (optional), leaves, (optional), paste",No,,
"Breakfast Sandwich on an English Muffin With Charred Red Onions, Herbs, and Cheddar","rings, sauce, powder, divided, salt, dill, sauce, butter, beaten, toasted, cheese",Yes,"butter, cheese","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Cauliflower Bolognese,"removed, florets, drizzling, divided, chopped, sliced, flakes, rosemary, paste, salt, rigatoni, serving, parsley, lemon",Yes,"lemon, parsley","Citrus Allergy, Hypersensitivity"
Chickpea and Chorizo Tostadas,"rinsed, lime, cilantro, yogurt, salt, removed, shells",Yes,"lime, yogurt","Citrus Allergy, Milk allergy / Lactose intolerance"
Crispy Tofu With Maple-Soy Glaze,"tofu, sauce, syrup, vinegar, flakes, sliced, grapeseed, Kimchi, seeds, hijiki, daikon, scallions, optional)",No,,
Big Flavor Broccoli,"heads), divided, salt, slices, sliced, fillets, cup), serving)",No,,
Pork Marbella,"tenderloins, salt, wine, half, olives, sugar, brine, vinegar, smashed, oregano, oil, butter, (optional)",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Chicken and Rice Meatballs With Hummus,"sliced, chopped, chopped, chicken, rice, oil, blend, more, sliced, sliced, sliced, stems, juice, serving)",Yes,"chicken, rice","Poultry Allergy, Rice Allergy"
Power Butter,"oil, (pepitas), seeds, seeds, butter, syrup, salt, pepper",Yes,butter,Milk allergy / Lactose intolerance
Bright and Spicy Shrimp Noodle Salad,"juice, honey, sliced, grated, grated, sauce, divided, salt, deveined, noodles, crosswise, divided, leaves",Yes,honey,Honey Allergy
Steamed Kabocha With Ginger-Soy Dressing,"sliced, chopped, vinegar, oil, sauce, honey, ginger, lb.), seeds",Yes,"ginger, honey","Histamine Allergy, Honey Allergy"
Turmeric Salmon With Coconut Crisp,"divided, separate), sliced, lengthwise, salt, turmeric, cut, sliced, sliced, flakes, pepper",No,,
Zaatar Fish and Chips,"chopped, divided, salt, lengthwise, divided, piece, zaatar, olives, mint",No,,
Warm Winter Vegetable Salad With Halloumi,"divided, chopped, salt, pepper, pieces, end, thick, pieces, pieces, vinegar, sumac, serving)",No,,
Kale Pesto With Whole Wheat Pasta,"removed, salt, pasta, pistachios, oil, clove, serving, butter, pepper",Yes,butter,Milk allergy / Lactose intolerance
Lentil-Smothered Greens on Fried Bread,"serving, chopped, chopped, chopped, whole, flakes, serving, more, lentils, pieces, halved, bread",No,,
Rosemary Mojito,"rosemary, syrup, rum, juice, top, sprig, sugar, water, rosemary, thyme, leaves, sugar, water",Yes,sugar,Sugar Allergy / Intolerance
Double Chocolate Rye Cookies,"halves, chocolate, chocolate, butter, extract, sugar, temperature, flour, powder, salt",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
That'll Take the Edge Off,"preferred), vermouth, Chartreuse, absinthe, peel, garnish",No,,
Aviation,"gin, juice, liqueur, violette, None",No,,
Bittersweet Symphony (Gin and Aperol Cocktail),"gin, Mes, Aperol, twist",No,,
Sforzando (Whiskey and Mezcal Cocktail),"(bonded), Mezcal, liqueur, Vermouth, Bitters, twist, Coupe",No,,
Little Italy,"whiskey, vermouth, amaro, cherries, pick, garnish",No,,
Oaxaca Old Fashioned,"preferred), preferred), nectar, bitters, twist, garnish",No,,
Manhattan,"whiskey, vermouth, bitters, garnish",No,,
Rose Cocoa,"milk, Dutch-process), honey, salt, serving, extract",Yes,"honey, milk","Honey Allergy, Milk allergy / Lactose intolerance"
East India Negroni,"rum, sherry, Campari, twist",No,,
Bitter French,"gin, Campari, juice, sugar:water), Champagne, twist",No,,
Negroni,"vermouth, Campari, gin, cubes, twist",No,,
Roasted Oysters With Warm Butter Mignonette,"chopped, vinegar, shell, salt, butter, melted",Yes,butter,Milk allergy / Lactose intolerance
Steamed Winter Veggie Bowls,"1"", pieces, eggs, oil, vinegar, honey, (optional), divided, parsley, drained, lengthwise, serving)",Yes,"eggs, honey, parsley","Poultry Allergy, Honey Allergy, Hypersensitivity"
Chicken Peppersoup,"seeds, seeds, seeds, berries, ginger, seeds, peppercorns, pulp, cloves, pieces, juice, water, minced, minced, taste, taste, stock, Mixture, shrimp, mint, sprigs, garnish",Yes,ginger,Histamine Allergy
"Shaved Mushroom, Celery, and Sesame Salad","trimmed, trimmed, juice, vinegar, salt, tahini, oil, leaves, salt, pepper",No,,
Tartiflette,"thick, oil, sliced, strips, chopped, wine, leaf, cream, cheese, slices, rind""",Yes,"cheese, cream","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Broiled Goat Cheese Toasts With Marinated Greens,"washed, divided, minced, taste, Salt, juice, pieces, oil, cheese, temperature, lemon, salt, pepper",Yes,"cheese, lemon","Milk allergy / Lactose intolerance, Citrus Allergy"
Silken Tofu With Soy-Sauced Tomatoes,"halved, sauce, oil, pepper, chilled, oil, (optional), (optional)",No,,
Market Suya (Nigerian Skewers),"pepper, powder, paprika, powder, powder, ginger, salt, crushed, deveined, strips, pieces, stemmed, oil, salt, oil, sliced, cream",Yes,"cream, ginger","Milk allergy / Lactose intolerance, Histamine Allergy"
Egusi Stew,"onions, garlic, chopped, ginger, pepper, oil, seeds, powder, cubes, powder, stock, cubed, salt, oil, spinach, dry",Yes,"garlic, ginger, spinach","Allium Allergy, Histamine Allergy, Histamine Allergy"
Casino Cocktail,"gin, juice, liqueur, bitters, cherry",Yes,cherry,Stone Fruit Allergy
Chinese Broccoli With Soy Paste,"crosswise, Xing)",No,,
Alfajores With Coconut Dulce de Leche,"milk, milk, divided, meal, dusting, temperature, sugar, yolk, extract, honey, coconut, powder, powder, (optional), cutters",Yes,"honey, milk, sugar","Honey Allergy, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Spinach and Egg Dumplings,"packed), eggs, milk, salt, oil, oil, sauce, pepper, Wrappers",Yes,"eggs, milk","Poultry Allergy, Milk allergy / Lactose intolerance"
Soy-Braised Chicken Wings,"divided, divided, divided, lb.), oil, sliced, crosswise, smashed, lengthwise, sugar, anise, (optional), stick, (optional), peppercorns, sauce, wine, optional)",Yes,sugar,Sugar Allergy / Intolerance
Scallion-Oil Noodles,"scallions, oil, noodles, paste, sauce",No,,
Crispy Taiwanese Pork Cutlets,"lb.), sauce, vinegar, paste, sugar, pepper, (optional), cinnamon, Powder, starch, frying), optional), thermometer",Yes,sugar,Sugar Allergy / Intolerance
Turf Mix,"oz.), oz.), chips, crisps, chips, melted, quarters, powder, limes), pepper, salt, sugar, dill, serving",Yes,sugar,Sugar Allergy / Intolerance
Lamb and Green Squash Dumplings,"toasted, grated, lamb, parts, wine, ginger, sauce, salt, Wrappers, flour, vinegar, oil",Yes,ginger,Histamine Allergy
Boiled or Panfried Dumpling Dough,"flour, salt, water, white",No,,
Parsons Negroni Slushy,"gin, vermouth, Bitter, juice, juice, ice, wheels",No,,
Mala Fried Peanuts,"blanched, oil, whole, peppercorns, salt, sugar, Powder, whole), (optional)",Yes,sugar,Sugar Allergy / Intolerance
Five-Spice Powder,"sticks, anise, cloves, (optional), peppercorns, seeds, peppercorns, (optional), grinder",No,,
Pork Wontons With Sesame Sauce,"pork, chopped, paste, oil, oil, ginger, wine, salt, (optional), egg, wrappers, oil, tahini, sauce, vinegar, sugar, (optional), serving)",Yes,"ginger, sugar","Histamine Allergy, Sugar Allergy / Intolerance"
Kiribath (Coconut Milk Rice),"patna), water, salt, milk, butter, greasing",Yes,"butter, milk","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Pol Sambol (Coconut Relish),"chopped, halved, quarters, peppercorns, deseeded, powder, leaves, coconut, (optional), lime, salt",Yes,lime,Citrus Allergy
Steel-Cut Oats with Squash and Tahini,"butter, oats, milk, water, salt, Squash, tahini, syrup, sugar, salt",Yes,"butter, milk, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
"Roasted, Mashed Butternut Squash","squash, oil, Salt",Yes,squash,Unknown
Mussel Minestrone,"butter, diced, diced, diced, diced, diced, diced, powder, leaf, wine, stock, water, water, chopped, yogurt, toasted, chutney, butter",Yes,"butter, yogurt","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
"One-Pot Pie with Callaloo, Plantain, Goat Cheese, and Cornmeal Crust","butter, rolling, cornmeal, salt, cheese, divided, divided, divided, divided, divided, divided, divided, chiffonade, divided, cubes), taste, kernels, cilantro, butter, scallion, wine, cream, milk, leaves, cheese, cubes, divided, cheese, egg, beaten",Yes,"butter, cheese, cream, milk","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Chicken and Black Bean Nachos,"oil, chopped, rinsed, cumin, oregano, pepper, chips, chicken, cheese, verde, chopped, sliced, cream, serving",Yes,"cheese, chicken, cream","Milk allergy / Lactose intolerance, Poultry Allergy, Milk allergy / Lactose intolerance"
Ackee Tacos with Island Guacamole,"sliced, diced, onion, mango, juice, juice, zest, pepper, oil, cilantro, taste, oil, diced, diced, diced, pepper, pepper, scallion, fresh), leaves, powder, taste, crunchy), cheese, cabbage, cilantro, (optional), (optional)",Yes,"cabbage, cheese, mango, onion","Cruciferous Allergy, Milk allergy / Lactose intolerance, Oral Allergy Syndrome, Allium Allergy"
"Watermelon, Lime, and White Pepper Yogurt Drink","cubes, cubes, water, yogurt, juice, honey, pepper, salt",Yes,"honey, yogurt","Honey Allergy, Milk allergy / Lactose intolerance"
Watermelon Chia Smoothie,"removed, strawberries, florets, leaves, seeds, water, tea, choice",Yes,tea,Tannin Allergy
Secret Mango Creamsicle Smoothie,"chunks, stemmed, g), butter, meal, seeds, blend, milk, choice",Yes,"butter, milk","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Blueberry Muffin Smoothie,"blueberries, peeled, yogurt, oats, zest, choice",Yes,yogurt,Milk allergy / Lactose intolerance
Apple Pie Smoothie,"chunks, too), oats, halves, pitted, seeds, cinnamon, choice, ice",No,,
Bean Lavash Triangles,"needed, diced, beans, salt, pepper, cilantro, dill, Lavash",No,,
"Pineapple, Blackberry, and Basil Smoothie","pineapple, blackberries, leaves, water, lime",Yes,"lime, pineapple","Citrus Allergy, Oral Allergy Syndrome"
Morning Sunrise Smoothie,"diced, chunks, chopped, oil, turmeric, lemon, water",Yes,lemon,Citrus Allergy
Black-and-White-and-Green Cookies,"powder, dusting, more, leaves, sugar, temperature, egg, yolk, decorating), sugar, powder, syrup, cutter",Yes,sugar,Sugar Allergy / Intolerance
Chewy Ginger-Rye Cookies,"flour, soda, cinnamon, cloves, divided, divided, divided, ginger, molasses, sugar, temperature, yolks, sugar",Yes,"ginger, sugar","Histamine Allergy, Sugar Allergy / Intolerance"
Malaysian Chicken Curry with Buttermilk Beer Beignets,"powder, sugar, salt, bouillon, boneless), milk, milk, shrimp), sliced, widthwise, cubes, pieces, (optional), Scallions, chopped, garnish",Yes,"milk, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Tea-Totalers Toddy,"bags, honey, divided, lemons, divided",Yes,honey,Honey Allergy
Almond Pad Thai With Shiritaki Noodles,"oil, florets, carrots, sliced, peas, aminos, butter, water, instructions, onions, seeds",Yes,"butter, peas, peas","Milk allergy / Lactose intolerance, Legume Allergy, Legume Allergy"
Spicy Citrus Refresher,"limes, divided, divided, sugar, salt, serving)",Yes,sugar,Sugar Allergy / Intolerance
Shirley Tonic,"sticks, lengthwise, cloves, juice, sugar, serving)",Yes,sugar,Sugar Allergy / Intolerance
Pine Nut and White Bean Dip,"nuts, oil, clove, rinsed, salt, pepper",No,,
Lime-Cilantro Chicken and Broccoli,"juice, leaves, toasted, oil, chopped, tamari, aminos, chopped, below), florets, oil",No,,
Instant Pot Coconut Green Curry Shrimp,"milk, paste, ginger, minced, salt, count), blend, serving, (optional), serving",Yes,"ginger, milk","Histamine Allergy, Milk allergy / Lactose intolerance"
Better Than Celery Juice,"chopped, stems), serving, vinegar, salt, pepper, serving",No,,
Shredded Daikon Salad,"matchsticks, divided, chopped, chopped, oil, vinegar, sugar, (optional), serving)",Yes,sugar,Sugar Allergy / Intolerance
Okonomiyaki (As You Like It) Pancakes With Bonito Flakes,"flour, powder, salt, beaten, choice, sliced, chopped, sliced, oil, pieces, mayonnaise, Sauce, flakes, nori",No,,
Paneer Butter Masala,"oil, cubes, butter, chopped, grated, crushed, tomatoes, leaves), cinnamon, cloves, chile, honey, salt, defrosted), serve), almonds",Yes,"butter, honey","Milk allergy / Lactose intolerance, Honey Allergy"
Pesto Pasta Frittata,"eggs, cream, cheese, salt, pepper, pasta, serving, butter",Yes,"butter, cheese, cream, eggs","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Poultry Allergy"
"Salmon Confit with Lime, Juniper, and Fennel","limes, needed, pepper, knife, knife, fillets, thyme, needed, fronds, salt, serving",No,,
Coconut-Braised Chickpeas with Sweet Potatoes and Greens,"almonds, oil, sliced, chopped, ginger, powder, leaves), drained, milk, salt, pieces, serving, serving, yogurt, serving",Yes,"ginger, milk, yogurt","Histamine Allergy, Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Crispy Sheet-Pan Broccoli,"large), oil, salt, pepper",No,,
Prawn Moilee,"chillies, oil, seeds, leaves, good), paste, paste, salt, pepper, turmeric, matchsticks, milk, cream, prawns, wedges, wedges, serve",Yes,"cream, milk","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Spinach and Feta Cooked Like Saag Paneer,"divided, seeds, best), pieces, ginger, minced, cups), needed, chopped, salt, cup), seeds, great), powder",Yes,ginger,Histamine Allergy
Cardamom-Pistachio Bche de Nol,"yolks), tartar, salt, divided, dusting), chocolate, pistachios, milk, gelatin, frosting), sugar, salt, extract, yolks), sugar, salt, chocolate, pieces, extract, pan), separated, divided, extract, flour, powder, salt, divided, tartar, dusting), brandy, chocolate, powder, ground, dusting)",Yes,"milk, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Tonnato Eggs,"eggs, tuna, fillets, mayonnaise, juice, divided, salt, divided, (optional)",Yes,"eggs, tuna","Poultry Allergy, Fish Allergy"
Chickpea-Mushroom Burgers,"rinsed, salt, drizzling, drained, powder, paprika, pieces, tahini, miso, flour, cheese, Mayonnaise, mustard, buns, lettuce, optional)",Yes,"cheese, lettuce","Milk allergy / Lactose intolerance, LTP Allergy"
Kimchi Soup With Tofu and Clams,"grapeseed), sliced, sliced, sliced, miso, salt, scrubbed, butter, pieces, scallions, only, sliced",Yes,butter,Milk allergy / Lactose intolerance
Roasted Cabbage Steaks With Crispy Chickpeas and Herby Croutons,"optional), divided, divided, rinsed, cumin, drizzling, divided, lb.), divided, divided, serving, mayonnaise, juice",No,,
Creamy Squash Risotto With Toasted Pepitas,"total), oil, miso, paprika, salt, oil, chopped, divided, rice, cider, (pepitas), paprika, flakes, zest, bunch), serving)",Yes,rice,Rice Allergy
Winter Salad Hummus Bowls,"eggs, vinegar, honey, sauce, salt, drizzling, pieces, sliced, hummus, Sprinkle, salt",Yes,"eggs, honey","Poultry Allergy, Honey Allergy"
Ponche a Crme,"eggs, lime, milk, milk, rum, garnish, bitters",Yes,"eggs, lime, milk","Poultry Allergy, Citrus Allergy, Milk allergy / Lactose intolerance"
Seedy Power Sprinkle,"white, oil, honey, (optional), salt, seeds, seeds, flaxseeds, seeds",Yes,honey,Honey Allergy
Salad Pasta,"fillets, sliced, oil, flakes, pasta, salt, butter, juice, separated, arugula, large, pepper",Yes,butter,Milk allergy / Lactose intolerance
Martini-on-the-Rocks,"vodka, vermouth, Olives",No,,
Oystertini,"gin, reserved, peel",No,,
Sakura Martini,"sake, gin, liqueur, blossom",No,,
Allies Cocktail,"gin, vermouth, kmmel",No,,
Puritan Cocktail,"gin, vermouth, Chartreuse, bitters, twist",No,,
Tuxedo No. 2,"rinse, gin, vermouth, liqueur, bitters, cherry",Yes,cherry,Stone Fruit Allergy
Obituary Cocktail,"gin, vermouth, absinthe",No,,
Classic Dry Martini,"ice, Beefeater, Prat, garnish",No,,
Chard-Wrapped Fish with Lemon and Olive,"lemons, olives, oil, cup), teaspoons), flakes, trimmed, cod, seasoning, seasoning, diced, flour, stock, halved, Rice, coucous, grain",No,,
"Chilaquiles With Bacon, Eggs, and Cheese","pieces, peeled, sliced, rinsed, serving, more, salt, cup), cup), eggs, stems, serving)",Yes,eggs,Poultry Allergy
Instant Pot Tequila Lime Carnitas,"pieces, Tajn), broth, tequila, divided, oil, salt, cilantro, zest, lettuce, Toppings, fresco, avocado, cream, sauce",Yes,"avocado, cream, lettuce","Oral Allergy Syndrome, Milk allergy / Lactose intolerance, LTP Allergy"
Instant Pot Chicken Parmesan Meatballs,"egg, ounces), ounces), meal, garnish, minced, chicken, divided, paste, undrained, crushed, powder",Yes,chicken,Poultry Allergy
Spicy Chickpea Poppers,"cloves), leaves, oil, sauce, pepper, peppercorns, flakes, pepper, coriander, kombu, cumin, powder, sugar, needed, frying, peeled, buttermilk, flour, powder, soda, pepper, salt, leaves, grated, below)",Yes,"buttermilk, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Pandoras Box,"bean, milk, tea, yolks, honey, sugar, flour, flour), butter, brioche, milk, egg, sugar, cinnamon, salt, coating, frying, berriesraspberries, strawberries, top",Yes,"bean, butter, honey, milk, sugar, tea","Legume Allergy, Milk allergy / Lactose intolerance, Honey Allergy, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance, Tannin Allergy"
Islay and Olive,"olives, vodka, 10), Dolin), water, brine, bitters, salt, oil, twists, frozen)",No,,
Sneaky Peat,"Label), bitters, oolong, syrup, water, juice, water, bags, water, sugar, cranberries, (optional), cranberries, wheels",Yes,sugar,Sugar Allergy / Intolerance
The Blaylock,"juice, juice, follows), honey, water, (optional), seltzer, (optional)",Yes,honey,Honey Allergy
Pansit Palabok (Rice Noodles with Shrimp Sauce),"butter, flour, follows), sauce, oil, garlic, deveined, rings, warm, rinds, tofu, flakes, quarters, oil, sliced, garlic, shrimp, seeds, oil, juice, sauce, leaves, peppercorns",Yes,"butter, garlic","Milk allergy / Lactose intolerance, Allium Allergy"
Bubble and Squeak With Stilton,"oil, butter, sliced, sliced, diced, diced, half, parsley, cheese, crumbled",Yes,"butter, cheese, parsley","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Hypersensitivity"
Portobello Mushroom Wellington,"mushrooms, diced, leaves, oil, spinach, grated, Marsala, beaten, sheet, seeds, butter, oil, sliced, leaves, sliced, Marsala, eggs, flour, milk, rosemary, frying, oil, diced, diced, leaves, Fino), stock, cream, kale",Yes,"butter, cream, eggs, kale, milk, spinach","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Poultry Allergy, Cruciferous Allergy, Milk allergy / Lactose intolerance, Histamine Allergy"
Spiced Pomegranate and Orange Glazed Ham,"cinnamon, star-anise, juice, sugar, molasses, honey, leg, oranges, peeled, dry",Yes,"honey, sugar","Honey Allergy, Sugar Allergy / Intolerance"
Christmas Cake,"raisins, raisins, currants, chopped, almonds, brandy, softened, sugar, eggs, sifted, soda, cinnamon, allspice, brandy, extra",Yes,"eggs, sugar","Poultry Allergy, Sugar Allergy / Intolerance"
Super-Simple Overnight Porridge,"rice, broth, needed, bruised, rings, salt, (optional)",Yes,rice,Rice Allergy
Sourdough Rye Brownies,"flour, water, refreshment), flour, eggs,beaten, sugar, butter, solids, sugar, sugar, powder, extract, soda, salt, (optional)",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Smoked Trout Croquettes,"quartered, salt, pieces, cup), chives, horseradish, pepper, divided, shredded, cup), breadcrumbs), cups), serving)",Yes,horseradish,Cruciferous Allergy
Smoked Salmon Tartare,"pieces, chopped, zest, paprika, frache, serving)",No,,
Vanilla Butter Anchovy Toasts,"pieces, paste, extract, salt, baguette), fillets, oil, pepper, leaves",No,,
Lavash,"flour, water, yeast, water, oil, salt, flour, dusting",No,,
Rag Bolognese,"butter, oil, chopped, diced, diced, chopped, chuck, pork, pepper, grated, wine, hot, pure, stock",Yes,butter,Milk allergy / Lactose intolerance
Oysters with Balsamic,"shucked, vinegar",No,,
Coconut Cabbage and Tofu With Lemongrass and Ginger,"milk, sliced, cloves, chopped, salt, sugar, turmeric, coriander, pepper, drained, core, segments, chips, rice, optional)",Yes,"milk, rice, sugar","Milk allergy / Lactose intolerance, Rice Allergy, Sugar Allergy / Intolerance"
Pecan-Rye Pumpkin Pie,"flour, sugar, salt, dusting, pieces, blend, eggs, yolk, Pumpkin, cream, sugar, whiskey, cinnamon, ginger, nutmeg, cardamom, cloves, divided, divided, divided, pecans, syrup, optional)",Yes,"cream, eggs, ginger, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Histamine Allergy, Sugar Allergy / Intolerance"
Lemon Meringue Pie,"Crust, sugar, cornstarch, eggs, yolks, lemons, juice, salt, butter, whites, sugar, salt, tartar",Yes,"butter, eggs, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Sugar Allergy / Intolerance"
Chocolate Pudding Pie,"Crust, sugar, Dutch-process, cornstarch, eggs, yolks, milk, extract, salt, chopped, gelatin, cream, sugar, extract, salt",Yes,"cream, eggs, milk, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Blind-Baked Pie Crust,"sugar, salt, dusting, butter, pieces",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Banana Cream Pie,"crackers, peanuts, salt, melted, sugar, cornstarch, eggs, yolks, milk, extract, more, butter, thick, cream, sugar, peanuts",Yes,"butter, cream, eggs, milk, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Poultry Allergy, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Why-Is-It-So-Good Gravy,"separated, divided, crosswise, halved, sliced, pieces, crushed, flour, temperature, sherry, warmed, vinegar, MSG, salt, (optional)",No,,
Fancy Cranberry Sauce,"spray, gelatin, cranberries, crushed, leaves, salt, water, sugar, zest, lengthwise",Yes,sugar,Sugar Allergy / Intolerance
Squash and Radicchio Salad With Pecans,"half-moons, oil, pepper, pecans, drizzling, salt, chopped, juice, juice, mustard, syrup, pepper, large, sliced, juice, shaved, leaves, lemon",Yes,lemon,Citrus Allergy
Mashed Potatoes With Crispety Cruncheties,"scrubbed, divided, thyme, crushed, butter, milk, salt, lemon, pieces, Cod), butter, pepper, picked, paprika, parsley",Yes,"butter, lemon, milk, parsley","Milk allergy / Lactose intolerance, Citrus Allergy, Milk allergy / Lactose intolerance, Hypersensitivity"
Glazed Leeks With Pine Nut Salsa Verde,"removed, salt, lengthwise, honey, vinegar, nuts, parsley, oil, capers, pepper",Yes,"honey, parsley","Honey Allergy, Hypersensitivity"
Cornbread Stuffing With Sausage and Corn Nuts,"cups), needed, pan, chopped, chopped, salt, chopped, chopped, cup), wine, sage, thyme, eggs, pepper, broth",Yes,eggs,Poultry Allergy
Coconut Creamed Greens,"flakes, bunches), oil, crushed, chopped, sliced, sliced, salt, seeds, coriander, turmeric, milk, cilantro",Yes,milk,Milk allergy / Lactose intolerance
Cheesy Cabbage Gratin,"wedges, oil, more, more, end, cloves, cream, serving, butter, cups), Parmesan, cup)",Yes,"butter, cream","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Charred Sweet Potatoes With Hot Honey Butter and Lime,"lengthwise, divided, salt, temperature, honey, Cholula), (pepitas), coriander, salt, serving)",Yes,honey,Honey Allergy
